City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2447513.0,vaini,86.0,NE,1596082656.0,33.0,18.74,7.39,32.94,2.3
2071860.0,teahupoo,0.0,AU,1596082656.0,59.0,-33.87,121.9,18.0,9.8
964432.0,saleaula,8.0,ZA,1596082659.0,72.0,-33.59,26.89,14.81,9.84
2542997.0,fairbanks,40.0,MA,1596082558.0,60.0,31.63,-8.01,24.0,1.5
3402648.0,altay,3.0,BR,1596082660.0,93.0,-1.2,-46.02,23.64,1.21
3533462.0,bilibino,74.0,MX,1596082422.0,74.0,16.86,-99.89,27.59,0.67
5808079.0,san quintin,0.0,US,1596082662.0,61.0,47.67,-122.12,23.89,1.91
4020109.0,banda aceh,2.0,PF,1596082663.0,71.0,-9.8,-139.03,26.4,9.29
1633419.0,arlit,66.0,ID,1596082664.0,56.0,-0.95,100.35,30.92,2.4
1510689.0,esperance,100.0,RU,1596082466.0,68.0,61.67,96.37,17.16,3.91
2163355.0,nizhnyaya pavlovka,20.0,AU,1596082380.0,43.0,-42.88,147.33,13.33,6.2
1255396.0,illoqqortoormiut,100.0,IN,1596082666.0,69.0,26.12,86.6,31.22,2.2
4004293.0,port alfred,90.0,MX,1596082666.0,94.0,20.7,-105.2,25.0,1.5
1524606.0,marrakesh,3.0,KZ,1596082667.0,50.0,51.1,66.32,23.29,3.45
1842225.0,carutapera,90.0,KR,1596082668.0,94.0,36.11,128.34,22.0,2.1
3423146.0,acapulco,86.0,GL,1596082669.0,93.0,69.22,-51.1,4.0,1.72
4174301.0,redmond,74.0,US,1596082669.0,92.0,28.71,-82.08,25.0,0.45
2109528.0,atuona,22.0,SB,1596082670.0,68.0,-8.14,159.59,29.9,2.25
933471.0,padang,0.0,BW,1596082671.0,57.0,-23.08,26.7,7.35,0.83
3466165.0,baykit,94.0,BR,1596082673.0,70.0,-30.18,-50.21,9.83,0.4
3171173.0,hobart,0.0,IT,1596082673.0,77.0,43.9,12.89,23.89,1.79
610023.0,supaul,0.0,KZ,1596082676.0,27.0,47.53,52.98,27.58,2.28
5282297.0,ixtapa,90.0,US,1596082678.0,88.0,41.37,-73.41,24.0,2.1
2208091.0,derzhavinsk,100.0,NZ,1596082678.0,69.0,-38.92,174.25,13.33,1.79
2017155.0,jiddah,18.0,RU,1596082681.0,49.0,71.92,114.08,17.35,2.61
5354943.0,kumi,90.0,US,1596082681.0,93.0,37.46,-122.43,17.78,2.6
6167817.0,ilulissat,90.0,CA,1596082682.0,93.0,47.67,-52.73,12.78,2.6
2025630.0,sumter,99.0,RU,1596082682.0,81.0,56.91,118.26,17.18,1.0
3418910.0,buala,16.0,GL,1596082686.0,86.0,72.79,-56.15,5.41,2.29
4034551.0,bonwapitse,93.0,PF,1596082687.0,80.0,-16.48,-151.75,26.49,8.34
3460087.0,amderma,0.0,BR,1596082687.0,50.0,-21.48,-56.14,12.42,1.49
2155415.0,sentyabrskiy,78.0,AU,1596082688.0,66.0,-42.78,147.06,13.33,2.68
2264557.0,cidreira,40.0,PT,1596082688.0,68.0,32.67,-17.1,21.0,3.6
3526756.0,pesaro,75.0,MX,1596082689.0,79.0,21.23,-86.73,29.0,2.1
5557293.0,dossor,1.0,US,1596082690.0,64.0,57.05,-135.33,20.0,0.44
2960964.0,bethel,99.0,IE,1596082690.0,97.0,52.33,-6.46,16.11,2.68
1337610.0,waitara,69.0,MV,1596082691.0,78.0,0.53,72.93,28.63,7.17
2035610.0,samusu,78.0,CN,1596082691.0,41.0,48.48,124.83,30.35,3.16
1090467.0,saskylakh,62.0,YT,1596082692.0,83.0,-12.9,45.08,25.0,7.2
2374583.0,half moon bay,100.0,GW,1596082693.0,85.0,11.28,-15.83,25.79,7.27
3671450.0,torbay,34.0,CO,1596082693.0,95.0,3.87,-67.92,23.12,0.93
293842.0,chara,0.0,IL,1596082694.0,56.0,31.61,34.76,25.56,0.16
1491977.0,upernavik,100.0,RU,1596082695.0,50.0,54.83,99.13,24.23,1.31
4036284.0,faanui,47.0,NU,1596082695.0,78.0,-19.06,-169.92,22.0,7.2
1712961.0,jardim,99.0,PH,1596082696.0,71.0,13.78,124.39,29.79,4.61
2038067.0,new norfolk,91.0,CN,1596082697.0,25.0,42.27,118.96,34.28,3.34
3386213.0,ponta do sol,40.0,BR,1596082698.0,94.0,-5.2,-35.46,22.0,3.6
3361934.0,isla mujeres,2.0,ZA,1596082699.0,87.0,-33.01,17.94,10.0,1.0
1630058.0,sitka,40.0,ID,1596082700.0,62.0,-6.34,106.1,30.56,1.5
2027042.0,wexford,0.0,RU,1596082700.0,40.0,67.8,130.41,16.37,2.61
153412.0,thinadhoo,75.0,TZ,1596082701.0,88.0,-6.7,38.73,23.0,2.6
5948844.0,nehe,1.0,CA,1596082701.0,93.0,47.82,-79.87,16.0,3.6
610612.0,boueni,14.0,KZ,1596082702.0,68.0,43.65,51.2,21.0,3.0
3674676.0,bubaque,27.0,CO,1596082703.0,97.0,1.2,-70.17,21.63,0.88
1015776.0,inirida,70.0,ZA,1596082703.0,82.0,-34.53,20.04,14.0,4.6
2022572.0,gat,93.0,RU,1596082705.0,52.0,71.97,102.5,19.59,5.5
3382160.0,shumskiy,71.0,GF,1596082706.0,83.0,4.93,-52.33,27.0,1.0
2013279.0,alofi,4.0,RU,1596082706.0,50.0,46.49,135.88,27.15,2.73
296852.0,gigmoto,0.0,TR,1596082707.0,91.0,36.96,36.2,26.67,0.38
3385935.0,chifeng,86.0,BR,1596082707.0,52.0,-3.77,-49.67,26.51,0.52
2171722.0,ambodifototra,0.0,AU,1596082709.0,34.0,-20.1,146.27,23.76,7.37
686090.0,touros,11.0,RO,1596082711.0,93.0,46.43,26.4,20.0,2.1
1819729.0,saldanha,100.0,HK,1596082624.0,49.0,22.29,114.16,33.89,4.02
546105.0,karaton,2.0,RU,1596082713.0,82.0,59.7,30.79,16.67,3.0
2123814.0,batagay-alyta,33.0,RU,1596082713.0,76.0,69.38,178.42,5.93,6.3
5855927.0,mlandizi,90.0,US,1596082690.0,69.0,19.73,-155.09,27.0,4.6
1006984.0,englehart,0.0,ZA,1596082715.0,66.0,-33.02,27.91,13.0,3.1
3932145.0,aktau,90.0,PE,1596082718.0,82.0,-13.7,-76.22,16.0,1.0
2091996.0,mitu,24.0,PG,1596082720.0,68.0,-5.22,145.8,29.34,3.07
6144312.0,bredasdorp,90.0,CA,1596082720.0,100.0,50.2,-66.38,15.0,4.6
286621.0,mys shmidta,90.0,OM,1596082721.0,88.0,17.02,54.09,28.0,3.6
1271847.0,umzimvubu,100.0,IN,1596082724.0,67.0,22.92,78.78,29.75,1.22
5554428.0,khatanga,1.0,US,1596082724.0,72.0,55.34,-131.65,20.0,2.6
935215.0,cayenne,75.0,RE,1596082725.0,73.0,-21.36,55.77,21.11,2.6
189741.0,vostok,15.0,KE,1596082726.0,87.0,-2.27,40.9,24.71,4.46
3133983.0,erzin,75.0,NO,1596082726.0,93.0,65.53,13.41,14.0,0.5
1502280.0,tucurui,100.0,RU,1596082727.0,78.0,54.65,60.9,19.19,4.46
1498161.0,charters towers,87.0,RU,1596082727.0,77.0,65.37,64.67,13.98,3.15
1507390.0,taolanaro,35.0,RU,1596082728.0,76.0,73.51,80.55,10.34,1.88
6185377.0,asau,75.0,CA,1596082729.0,72.0,62.46,-114.35,17.0,6.2
2094342.0,victoria,19.0,PG,1596082729.0,68.0,-2.57,150.8,29.71,3.5
826558.0,nikolskoye,20.0,RU,1596082730.0,46.0,56.45,48.12,23.0,5.0
2127202.0,leningradskiy,90.0,RU,1596082732.0,93.0,64.75,177.48,12.0,1.0
2074865.0,hilo,0.0,AU,1596082735.0,23.0,-24.87,113.63,24.0,2.1
2065594.0,east london,0.0,AU,1596082737.0,22.0,-20.73,139.5,24.0,6.2
1283240.0,pisco,75.0,NP,1596082740.0,88.0,27.72,85.32,23.0,3.1
3996647.0,madang,44.0,MX,1596082741.0,64.0,25.82,-103.85,25.0,3.0
4047434.0,sept-iles,90.0,US,1596082741.0,88.0,32.35,-85.2,25.0,2.57
